brand,product_id,date_of_manufacture,batch,price,product_type,hash_code
A1,21,2023-10-04,121,2999,Mobile,7bbd0bb5eda98d044504db203f4592c4d4366a0d6438dc2472aaa5233aa993f7
A2,23,2023-10-05,12,3999,Mobile,4bad03dd1fd6ead45842d6354e5f399ee4129075ef7a01718ac140a7de1dc66a
A3,3214,2023-10-05,34,5999,Mobile,17fa4a9587496644b1e28687d6ee5c805174ad93e99795671e0ff14fd37ffd36
panter,p124,2023-10-30,3,399,shoe,bdc85416d8088e48164cfa2090effccf54ecb1d01c37df290f4a76ee106fe8ef
vivo,g123,2023-11-14,34,8999,mobile,a094f1bacc5b6391119e755cb1bc54a31752d4116cacac9e7b64d5f2b8c36e80
oppoa21,2343,2023-11-20,2,15999,Mobile,f276f3494bd6baae5098d687945398f755259efb113e1a5be6d04745b6f2dc06
oppor45,345,2023-12-14,4,7999,mobile,d380c8887c7af41198e8ada0f2762e56a298723646261fc06a101c156df58694
oppos12,6666,2024-01-09,6,9999,mobile,04dbb95081aaa8c322b526cfa597a2c1939404b068e608c56ffdd5190f53ae79
watch,w1234,2024-03-01,1,4999,watch,2a106717e211efc99d0cdf4431a099a316a49b0ce1f5baa0ea011514e6a37f47
r43,2312r43,2024-03-02,2,2343,watch,8ae4a780f2dc5fa1f01f5c435a81d23bfed78b78bf742331088378a3a4f3ca1e
44,44,2024-03-02,44,44,44,749425e8196066805f4ed26b69eed440553ecb342eb2a75c78e5598a0679771b
Altra,Altra456,2024-04-18,45,7999,Watch,84b3587d5990bca0465cb8e2ca0852b743ad3bb2c9215837fedbfa3e8961f244
Oppo,Oppo34RY65,2024-05-11,4,7899,Mobile,a2c533862fbd6e030d59a0122ec3c05c39b9250ae6e21160bd8619c875b89352
TR593,8529,2024-05-11,1,99999,Laptop,4e9aefe1fdb341199147a9ff129fbabea69f04943af3ea9dc4cdf9a819124a3c
66y,66y,2024-05-11,6,6666,Mobile,d9c67eb0a8319d165835e855bbeb30f3508f19537bda2c74607f64cd73a809b6
dr4,dr543,2024-05-11,1,5677,mobile,c2b8ee1e092a78b3d047d5f62de866b8cdf133fe553ff8d69006915b6303e5ab
Microsoft,M65778,2024-07-09,56,65000,Laptop,a9d756e37d938af589198ca7ea2ad81b8844982ef9049b559ef2df24ddffb683
Apple,A4532,2024-07-09,2,57999,Mobile,05f4ccdef25777117828d778314405c5b97c143ade98135ab90599e451f8016a
Apple,A453,2024-07-09,2,57999,Mobile,a8f54ea773c6407cb862c7b245eadf35521a7c356f0f6062acd3679537514537
Apple,A453,2024-07-26,2,54999,Mobile,a38e6d4c460706561dbedf95de899ef7a0274f7baa6ddcd612b20ff6848fb7fd
Apple,A453,2024-07-19,2,57999,Mobile,73c722a5b6ee9a857ec4e11ec4bd41d2606ee097331656a6a4c9fadce9bd2a68
apple,sas123,2024-07-10,1,1222222,12234,7f23cb22ba2233f75cfb25712eeadefef2e19974a67ca6db997bd22f9473ff66
apple,1234,2024-07-10,ac12,"12,0000",mackbook,2f3fd4c33e42992dae52f05ea9de8cbbb80a9b7af8db69d99393b242bac19f3f
